weed_count,date,client,user,weed_diameter,size,height,weed_placement,weed_type,weed_name,weed_applied
1,2024-01-01,Tobias,Mate,,20,,ROW,,CP,1.0
2,2024-01-01,Tobias,Mate,,20,,ROW,,CP,1.0
3,2024-01-01,Tobias,Mate,,9,,FURROW,,CP,1.0
4,2024-01-01,Tobias,Mate,,25,,ROW,,CORN,1.0
5,2024-01-01,Tobias,Mate,,20,,FURROW,,CP,1.0
6,2024-01-01,Tobias,Mate,,20,,FURROW,,CP,1.0
7,2024-01-01,Tobias,Mate,,15,,FURROW,,LCG,1.0
8,2024-01-01,Tobias,Mate,,9,,FURROW,,CP,1.0
9,2024-01-01,Tobias,Mate,,25,,FURROW,,CORN,1.0
10,2024-01-01,Tobias,Mate,,9,,FURROW,,CP,1.0
11,2024-01-01,Tobias,Mate,,25,,FURROW,,CORN,1.0
12,2024-01-01,Tobias,Mate,,25,,FURROW,,LCG,1.0
13,2024-01-01,Tobias,Mate,,15,,ROW,,CP,1.0
14,2024-01-01,Tobias,Mate,,20,,ROW,,CP,1.0
15,2024-01-01,Tobias,Mate,,9,,FURROW,,CP,1.0
16,2024-01-01,Tobias,Mate,,7,,FURROW,,CP,1.0
17,2024-01-01,Tobias,Mate,,15,,FURROW,,CP,1.0
18,2024-01-01,Tobias,Mate,,9,,FURROW,,CP,1.0
19,2024-01-01,Tobias,Mate,,7,,FURROW,,LCG,1.0
20,2024-01-01,Tobias,Mate,,9,,FURROW,,CP,1.0
21,2024-01-01,Tobias,Mate,,5,,FURROW,,CP,1.0
22,2024-01-01,Tobias,Mate,,5,,FURROW,,CP,1.0
23,2024-01-01,Tobias,Mate,,9,,FURROW,,LCG,1.0
24,2024-01-01,Tobias,Mate,,15,,FURROW,,CP,1.0
25,2024-01-01,Tobias,Mate,,7,,FURROW,,CP,1.0
26,2024-01-01,Tobias,Mate,,25,,FURROW,,CP,1.0
27,2024-01-01,Tobias,Mate,,25,,FURROW,,LCG,1.0
28,2024-01-01,Tobias,Mate,,15,,FURROW,,CP,1.0
29,2024-01-01,Tobias,Mate,,25,,FURROW,,CORN,1.0
30,2024-01-01,Tobias,Mate,,15,,FURROW,,CP,1.0
31,2024-01-01,Tobias,Mate,,25,,FURROW,,CP,1.0
32,2024-01-01,Tobias,Mate,,9,,ROW,,CP,1.0
33,2024-01-01,Tobias,Mate,,25,,FURROW,,LCG,1.0
34,2024-01-01,Tobias,Mate,,9,,FURROW,,CP,1.0
35,2024-01-01,Tobias,Mate,,15,,FURROW,,CORN,1.0
36,2024-01-01,Tobias,Mate,,15,,FURROW,,CP,1.0
37,2024-01-01,Tobias,Mate,,15,,ROW,,LCG,1.0
38,2024-01-01,Tobias,Mate,,25,,FURROW,,CORN,1.0
39,2024-01-01,Tobias,Mate,,15,,FURROW,,CP,1.0
40,2024-01-01,Tobias,Mate,,25,,FURROW,,CP,1.0
41,2024-01-01,Tobias,Mate,,3,,FURROW,,CP,1.0
42,2024-01-01,Tobias,Mate,,25,,FURROW,,CP,1.0
43,2024-01-01,Tobias,Mate,,9,,FURROW,,CP,1.0
44,2024-01-01,Tobias,Mate,,15,,FURROW,,CP,1.0
45,2024-01-01,Tobias,Mate,,15,,FURROW,,CP,1.0
46,2024-01-01,Tobias,Mate,,9,,FURROW,,CP,1.0
47,2024-01-01,Tobias,Mate,,15,,FURROW,,CP,1.0
48,2024-01-01,Tobias,Mate,,25,,FURROW,,CP,1.0
49,2024-01-01,Tobias,Mate,,9,,FURROW,,CP,1.0
