weed_count,date,client,user,weed_diameter,size,height,weed_placement,weed_type,weed_name,weed_applied
1,2021-12-01,Juan,Mate,,25.0,,ROW,HA,Xanthium cavanillesii,0
2,2021-12-01,Juan,Mate,,25.0,,FURROW,HA,Xanthium cavanillesii,1
3,2021-12-01,Juan,Mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,1
4,2021-12-01,Juan,Mate,,20.0,,FURROW,HA,Xanthium cavanillesii,1
5,2021-12-01,Juan,Mate,,25.0,,FURROW,HA,Xanthium cavanillesii,1
6,2021-12-01,Juan,Mate,,20.0,,ROW,HA,Xanthium cavanillesii,1
7,2021-12-01,Juan,Mate,,15.0,,FURROW,HA,Xanthium cavanillesii,1
8,2021-12-01,Juan,Mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,1
9,2021-12-01,Juan,Mate,10.0,78.5,,FURROW,HA,Xanthium cavanillesii,1
10,2021-12-01,Juan,Mate,,25.0,,ROW,HA,Xanthium cavanillesii,1
11,2021-12-01,Juan,Mate,15.0,176.63,,ROW,HA,Xanthium cavanillesii,0
12,2021-12-01,Juan,Mate,,25.0,,FURROW,HA,Xanthium cavanillesii,1
13,2021-12-01,Juan,Mate,10.0,78.5,,ROW,HA,Xanthium cavanillesii,1
14,2021-12-01,Juan,Mate,,20.0,,FURROW,HA,Xanthium cavanillesii,0
15,2021-12-01,Juan,Mate,25.0,490.63,,FURROW,HA,Bassia scoparia,0
16,2021-12-01,Juan,Mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,0
17,2021-12-01,Juan,Mate,10.0,78.5,,FURROW,HA,Xanthium cavanillesii,1
18,2021-12-01,Juan,Mate,,25.0,,FURROW,HA,Xanthium cavanillesii,0
19,2021-12-01,Juan,Mate,30.0,706.5,,FURROW,HA,Xanthium cavanillesii,1
20,2021-12-01,Juan,Mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,1
21,2021-12-01,Juan,Mate,20.0,314.0,,FURROW,HA,Xanthium cavanillesii,1
22,2021-12-01,Juan,Mate,,25.0,,FURROW,HA,Xanthium cavanillesii,1
23,2021-12-01,Juan,Mate,15.0,176.63,,ROW,HA,Xanthium cavanillesii,0
24,2021-12-01,Juan,Mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,1
25,2021-12-01,Juan,Mate,20.0,314.0,,ROW,HA,Xanthium cavanillesii,0
26,2021-12-01,Juan,Mate,,25.0,,FURROW,HA,Xanthium cavanillesii,0
27,2021-12-01,Juan,Mate,10.0,78.5,,FURROW,HA,Xanthium cavanillesii,1
28,2021-12-01,Juan,Mate,,25.0,,ROW,G,Maíz voluntario,1
29,2021-12-01,Juan,Mate,10.0,78.5,,ROW,HA,Xanthium cavanillesii,1
30,2021-12-01,Juan,Mate,20.0,314.0,,FURROW,HA,Xanthium cavanillesii,1
31,2021-12-01,Juan,Mate,10.0,78.5,,ROW,HA,Xanthium cavanillesii,1
32,2021-12-01,Juan,Mate,,25.0,,ROW,G,Maíz voluntario,1
33,2021-12-01,Juan,Mate,15.0,176.63,,ROW,HA,Xanthium cavanillesii,1
34,2021-12-01,Juan,Mate,10.0,78.5,,ROW,HA,Xanthium cavanillesii,0
