weed_count,date,client,user,weed_diameter,size,height,weed_placement,weed_type,weed_name,weed_applied
1,2024-01-01,Tobias,Mate,,20,,ROW,,CP,1
2,2024-01-01,Tobias,Mate,,20,,ROW,,CP,1
3,2024-01-01,Tobias,Mate,,9,,FURROW,,CP,1
4,2024-01-01,Tobias,Mate,,25,,ROW,,CORN,1
5,2024-01-01,Tobias,Mate,,20,,FURROW,,CP,1
6,2024-01-01,Tobias,Mate,,20,,FURROW,,CP,1
7,2024-01-01,Tobias,Mate,,15,,FURROW,,LCG,1
8,2024-01-01,Tobias,Mate,,9,,FURROW,,CP,1
9,2024-01-01,Tobias,Mate,,25,,FURROW,,CORN,1
10,2024-01-01,Tobias,Mate,,9,,FURROW,,CP,1
11,2024-01-01,Tobias,Mate,,25,,FURROW,,CORN,1
12,2024-01-01,Tobias,Mate,,25,,FURROW,,LCG,1
13,2024-01-01,Tobias,Mate,,15,,ROW,,CP,1
14,2024-01-01,Tobias,Mate,,20,,ROW,,CP,1
15,2024-01-01,Tobias,Mate,,9,,FURROW,,CP,1
16,2024-01-01,Tobias,Mate,,7,,FURROW,,CP,1
17,2024-01-01,Tobias,Mate,,15,,FURROW,,CP,1
18,2024-01-01,Tobias,Mate,,9,,FURROW,,CP,1
19,2024-01-01,Tobias,Mate,,7,,FURROW,,LCG,1
20,2024-01-01,Tobias,Mate,,9,,FURROW,,CP,1
21,2024-01-01,Tobias,Mate,,5,,FURROW,,CP,1
22,2024-01-01,Tobias,Mate,,5,,FURROW,,CP,1
23,2024-01-01,Tobias,Mate,,9,,FURROW,,LCG,1
24,2024-01-01,Tobias,Mate,,15,,FURROW,,CP,1
25,2024-01-01,Tobias,Mate,,7,,FURROW,,CP,1
26,2024-01-01,Tobias,Mate,,25,,FURROW,,CP,1
27,2024-01-01,Tobias,Mate,,25,,FURROW,,LCG,1
28,2024-01-01,Tobias,Mate,,15,,FURROW,,CP,1
29,2024-01-01,Tobias,Mate,,25,,FURROW,,CORN,1
30,2024-01-01,Tobias,Mate,,15,,FURROW,,CP,1
31,2024-01-01,Tobias,Mate,,25,,FURROW,,CP,1
32,2024-01-01,Tobias,Mate,,9,,ROW,,CP,1
33,2024-01-01,Tobias,Mate,,25,,FURROW,,LCG,1
34,2024-01-01,Tobias,Mate,,9,,FURROW,,CP,1
35,2024-01-01,Tobias,Mate,,15,,FURROW,,CORN,1
36,2024-01-01,Tobias,Mate,,15,,FURROW,,CP,1
37,2024-01-01,Tobias,Mate,,15,,ROW,,LCG,1
38,2024-01-01,Tobias,Mate,,25,,FURROW,,CORN,1
39,2024-01-01,Tobias,Mate,,15,,FURROW,,CP,1
40,2024-01-01,Tobias,Mate,,25,,FURROW,,CP,1
41,2024-01-01,Tobias,Mate,,3,,FURROW,,CP,1
42,2024-01-01,Tobias,Mate,,25,,FURROW,,CP,1
43,2024-01-01,Tobias,Mate,,9,,FURROW,,CP,1
44,2024-01-01,Tobias,Mate,,15,,FURROW,,CP,1
45,2024-01-01,Tobias,Mate,,15,,FURROW,,CP,1
46,2024-01-01,Tobias,Mate,,9,,FURROW,,CP,1
47,2024-01-01,Tobias,Mate,,15,,FURROW,,CP,1
48,2024-01-01,Tobias,Mate,,25,,FURROW,,CP,1
49,2024-01-01,Tobias,Mate,,9,,FURROW,,CP,1
50,2024-01-01,Tobias,Mate,,9,,FURROW,,CP,1
51,2024-01-01,Tobias,Mate,,20,,FURROW,,CP,1
52,2024-01-01,Tobias,Mate,,15,,FURROW,,LCG,1
53,2024-01-01,Tobias,Mate,,9,,FURROW,,CP,1
54,2024-01-01,Tobias,Mate,,25,,FURROW,,LCG,1
55,2024-01-01,Tobias,Mate,,25,,FURROW,,LCG,1
56,2024-01-01,Tobias,Mate,,25,,ROW,,COMMON (*),1
57,2024-01-01,Tobias,Mate,,25,,FURROW,,CP,1
58,2024-01-01,Tobias,Mate,,25,,FURROW,,CP,1
59,2024-01-01,Tobias,Mate,,20,,FURROW,,CP,1
60,2024-01-01,Tobias,Mate,,5,,ROW,,CP,1
61,2024-01-01,Tobias,Mate,,20,,FURROW,,LCG,1
62,2024-01-01,Tobias,Mate,,15,,ROW,,LCG,1
63,2024-01-01,Tobias,Mate,,25,,FURROW,,CP,1
64,2024-01-01,Tobias,Mate,,25,,ROW,,CP,1
65,2024-01-01,Tobias,Mate,,7,,ROW,,CP,1
66,2024-01-01,Tobias,Mate,,20,,ROW,,CP,1
67,2024-01-01,Tobias,Mate,,15,,FURROW,,LCG,1
68,2024-01-01,Tobias,Mate,,9,,FURROW,,CP,1
69,2024-01-01,Tobias,Mate,,5,,FURROW,,CP,1
70,2024-01-01,Tobias,Mate,,25,,FURROW,,LCG,1
71,2024-01-01,Tobias,Mate,,25,,FURROW,,CP,1
72,2024-01-01,Tobias,Mate,,15,,ROW,,CP,1
73,2024-01-01,Tobias,Mate,,25,,ROW,,LCG,1
74,2024-01-01,Tobias,Mate,,20,,FURROW,,LCG,1
75,2024-01-01,Tobias,Mate,,25,,FURROW,,CP,1
76,2024-01-01,Tobias,Mate,,25,,ROW,,CORN,1
77,2024-01-01,Tobias,Mate,,25,,FURROW,,LCG,1
78,2024-01-01,Tobias,Mate,,25,,FURROW,,PICTURE,1
79,2024-01-01,Tobias,Mate,,25,,ROW,,LCG,1
80,2024-01-01,Tobias,Mate,,25,,FURROW,,CP,1
81,2024-01-01,Tobias,Mate,,5,,FURROW,,PICTURE,1
82,2024-01-01,Tobias,Mate,,20,,FURROW,,COMMON (*),1
83,2024-01-01,Tobias,Mate,,20,,ROW,,CORN,1
